Station Name,Year,Month,Day,Mean Temp (C),Total Precip (mm),Avg Rel Hum (%),Avg Wind Spd (km/h),Mean UV,Cases,Cumulative Cases
CALGARY INT'L CS,2020,1,15,-30.2,0,69.75,8.21,1,0,0
CALGARY INT'L CS,2020,1,16,-28.5,0,69.88,11.42,1,0,0
CALGARY INT'L CS,2020,1,17,-25.2,0,63.38,14.21,1,0,0
CALGARY INT'L CS,2020,1,18,-23.5,0,69.17,10.17,1,0,0
CALGARY INT'L CS,2020,1,19,-8.1,0,66.17,11.54,1,0,0
CALGARY INT'L CS,2020,1,20,1.6,0,62.67,10.04,1,0,0
CALGARY INT'L CS,2020,1,21,-1,0,65.96,8.17,1,0,0
CALGARY INT'L CS,2020,1,22,0.9,0,46.42,15.46,1,0,0
CALGARY INT'L CS,2020,1,23,0.1,0,59.08,8.71,1,0,0
CALGARY INT'L CS,2020,1,24,4.8,0,59.33,13.92,1,0,0
CALGARY INT'L CS,2020,1,25,2.9,0,50.67,11.54,1,0,0
CALGARY INT'L CS,2020,1,26,-3.4,0,73.88,6.92,1,0,0
CALGARY INT'L CS,2020,1,27,0.6,0,49.38,12.96,1,0,0
CALGARY INT'L CS,2020,1,28,-1.1,0,58.33,6.75,1,0,0
CALGARY INT'L CS,2020,1,29,-2.4,0,63.13,11.42,1,0,0
CALGARY INT'L CS,2020,1,30,0.1,0,47.75,16.33,1,0,0
CALGARY INT'L CS,2020,1,31,1.9,0.1,58.25,13.75,1,0,0
CALGARY INT'L CS,2020,2,1,2.4,4.1,74.33,24.33,1,0,0
CALGARY INT'L CS,2020,2,2,-6.7,3.2,64.46,11.83,1,0,0
CALGARY INT'L CS,2020,2,3,-9.7,0.5,73.33,12.88,1,0,0
CALGARY INT'L CS,2020,2,4,-10.1,0.2,61.33,16.92,1,0,0
CALGARY INT'L CS,2020,2,5,1,0.1,48.29,20.75,1,0,0
CALGARY INT'L CS,2020,2,6,-2.6,0,54.58,11.63,1,0,0
CALGARY INT'L CS,2020,2,7,-4.6,0,71,9,1,0,0
CALGARY INT'L CS,2020,2,8,-7.7,3.6,84.29,12.63,1,0,0
CALGARY INT'L CS,2020,2,9,-5.7,0.4,66.17,18.92,1,0,0
CALGARY INT'L CS,2020,2,10,-3.2,0,58.79,12.75,1,0,0
CALGARY INT'L CS,2020,2,11,-2.3,0.7,65.67,23.92,1,0,0
CALGARY INT'L CS,2020,2,12,-10.9,0,84.88,14.88,1,0,0
CALGARY INT'L CS,2020,2,13,-3.3,0.2,68.08,15.5,2,0,0
CALGARY INT'L CS,2020,2,14,-4.5,1.3,82,6.71,1,0,0
CALGARY INT'L CS,2020,2,15,-2.7,0,70.17,14.75,1,0,0
CALGARY INT'L CS,2020,2,16,-3.2,0,71.54,6.29,1,0,0
CALGARY INT'L CS,2020,2,17,-11.9,1.2,78.46,12.54,1,0,0
CALGARY INT'L CS,2020,2,18,-11.8,0.6,78.33,9.58,1.5,0,0
CALGARY INT'L CS,2020,2,19,-8.2,0,64.75,5.96,2,0,0
CALGARY INT'L CS,2020,2,20,-3.1,0.3,43.96,16.42,2,0,0
CALGARY INT'L CS,2020,2,21,1.2,0.2,29.46,21.5,2,0,0
CALGARY INT'L CS,2020,2,22,-2.1,0,58.58,17.33,2,0,0
CALGARY INT'L CS,2020,2,23,-5,1.6,83,11.17,2,0,0
CALGARY INT'L CS,2020,2,24,-5.9,0.8,80.79,11.71,1.5,1,1
CALGARY INT'L CS,2020,2,25,-7.8,0,73.21,6.5,2,0,1
CALGARY INT'L CS,2020,2,26,-0.2,0,51.79,14.17,2,0,1
CALGARY INT'L CS,2020,2,27,3.2,0.1,41.5,24.63,2,1,2
CALGARY INT'L CS,2020,2,28,4.2,0.1,55,10.25,3,6,8
CALGARY INT'L CS,2020,2,29,1.3,1.4,64.71,29.17,2,0,8
CALGARY INT'L CS,2020,3,1,-4.4,0.1,65.54,16.88,3,3,11
CALGARY INT'L CS,2020,3,2,2.6,0.2,39.83,21.92,2,4,15
CALGARY INT'L CS,2020,3,3,1.2,0.3,46.21,23.33,3,5,20
CALGARY INT'L CS,2020,3,4,-0.6,0.7,50.46,24.5,2,6,26
CALGARY INT'L CS,2020,3,5,0,0,54.42,9.42,3,14,40
CALGARY INT'L CS,2020,3,6,0.4,0,71.88,13.88,3,12,52
CALGARY INT'L CS,2020,3,7,-11.1,1.8,82.17,16.54,1,18,70
CALGARY INT'L CS,2020,3,8,-13.8,0,76.29,9.13,3,13,83
CALGARY INT'L CS,2020,3,9,-7.3,0,53.67,8.67,3,18,101
CALGARY INT'L CS,2020,3,10,-2.4,0.2,38.75,15.5,3,25,126
CALGARY INT'L CS,2020,3,11,-0.4,0,54.08,14.21,1.5,13,139
CALGARY INT'L CS,2020,3,12,-3.9,1.1,68.58,13.38,3,25,164
CALGARY INT'L CS,2020,3,13,-14.7,2.5,77.92,23.25,1,25,189
CALGARY INT'L CS,2020,3,14,-19.8,1.7,73.92,19.75,1,27,216
CALGARY INT'L CS,2020,3,15,-17.4,0,64.33,5.29,4,35,251
CALGARY INT'L CS,2020,3,16,-5.6,0,60.54,7.88,4,49,300
CALGARY INT'L CS,2020,3,17,-3,0.2,64.96,19.46,3.5,37,337
CALGARY INT'L CS,2020,3,18,-8.8,0.1,85.79,11.5,3,42,379
CALGARY INT'L CS,2020,3,19,-10.2,0.4,83.92,13.88,4,30,409
CALGARY INT'L CS,2020,3,20,-5.8,0.3,70.71,9.04,5,14,423
CALGARY INT'L CS,2020,3,21,-2.8,0.2,64.38,11.5,5,31,454
CALGARY INT'L CS,2020,3,22,0.3,0,69.54,11.13,5,76,530
CALGARY INT'L CS,2020,3,23,1.6,0.4,72.58,12.88,3.5,61,591
CALGARY INT'L CS,2020,3,24,-3.9,0.7,84.46,13.54,2.5,84,675
CALGARY INT'L CS,2020,3,25,-5.2,1.5,70.5,11.83,4.5,62,737
CALGARY INT'L CS,2020,3,26,-0.1,0.5,45.38,21.88,5,38,775
CALGARY INT'L CS,2020,3,27,2.4,0,43.96,16,6,43,818
CALGARY INT'L CS,2020,3,28,1.4,0,68.96,12.92,6,17,835
CALGARY INT'L CS,2020,3,29,4.5,0,58.29,17.13,5,25,860
CALGARY INT'L CS,2020,3,30,-4.9,2,91.46,16.5,3.5,18,878
CALGARY INT'L CS,2020,3,31,-10.1,0,71.33,22.42,4,39,917
CALGARY INT'L CS,2020,4,1,-12.8,0.1,62.75,16.04,3,59,976
CALGARY INT'L CS,2020,4,2,-11.7,0,72.33,10.63,3.5,70,1046
CALGARY INT'L CS,2020,4,3,-9.5,0,80.58,14.38,2,68,1114
CALGARY INT'L CS,2020,4,4,-7.4,0,75.29,12.83,5,128,1242
CALGARY INT'L CS,2020,4,5,-5.6,0.2,91.75,15.71,3,94,1336
CALGARY INT'L CS,2020,4,6,-1,1,72.75,14.29,5,133,1469
CALGARY INT'L CS,2020,4,7,0.3,1.6,68.58,14.08,4,208,1677
CALGARY INT'L CS,2020,4,8,0.2,0,46.96,11.71,6,148,1825
CALGARY INT'L CS,2020,4,9,4.9,0,52.54,13.25,6,180,2005
CALGARY INT'L CS,2020,4,10,0.3,1.7,82.42,15,2,75,2080
CALGARY INT'L CS,2020,4,11,-6.4,2.7,67.88,18.04,4,127,2207
CALGARY INT'L CS,2020,4,12,-5.8,0.2,69.42,17.08,5,192,2399
CALGARY INT'L CS,2020,4,13,-3,0,57.58,9.63,6,239,2638
CALGARY INT'L CS,2020,4,14,3.4,2.5,76.83,16.88,3,200,2838
CALGARY INT'L CS,2020,4,15,-0.8,2.9,84.67,19,4.5,131,2969
CALGARY INT'L CS,2020,4,16,2.2,0,53.92,7.88,6,142,3111
CALGARY INT'L CS,2020,4,17,7.1,1.7,54.21,20.08,5,151,3262
CALGARY INT'L CS,2020,4,18,2,0.5,79.08,13.75,6.5,109,3371
CALGARY INT'L CS,2020,4,19,5.8,0,50.79,10.46,7,158,3529
CALGARY INT'L CS,2020,4,20,11.8,0,34.46,16.17,8,69,3598
CALGARY INT'L CS,2020,4,21,13.2,0,30.58,25.25,6,117,3715
CALGARY INT'L CS,2020,4,22,8.5,0.9,52.5,10.75,6,69,3784
CALGARY INT'L CS,2020,4,23,7.2,0.1,54.79,12.21,6,68,3852
CALGARY INT'L CS,2020,4,24,6.9,0,41.92,11.54,6,64,3916
CALGARY INT'L CS,2020,4,25,9,0.3,37.88,16.5,7,48,3964
CALGARY INT'L CS,2020,4,26,7.9,0.2,31.29,20.58,6,49,4013
CALGARY INT'L CS,2020,4,27,8.9,0,37.46,18.17,6,44,4057
CALGARY INT'L CS,2020,4,28,8.3,0,32.92,13.88,6.5,68,4125
CALGARY INT'L CS,2020,4,29,11.8,0,37.46,14.29,7,52,4177
CALGARY INT'L CS,2020,4,30,10.9,0,52.67,17.04,6,85,4262
CALGARY INT'L CS,2020,5,1,7,0,50.5,7.46,6,38,4300
CALGARY INT'L CS,2020,5,2,9,0,38.21,11.42,7,42,4342
CALGARY INT'L CS,2020,5,3,9.1,9.5,59.88,18.04,5,50,4392
CALGARY INT'L CS,2020,5,4,4,0.2,80.08,19,4.5,41,4433
CALGARY INT'L CS,2020,5,5,6.8,0,58.67,11.71,7,46,4479
CALGARY INT'L CS,2020,5,6,8.2,0,60.54,14.46,6.5,57,4536
CALGARY INT'L CS,2020,5,7,11.4,0.3,63.04,13.25,6,47,4583
CALGARY INT'L CS,2020,5,8,6.7,0.8,78.92,23.33,5,35,4618
CALGARY INT'L CS,2020,5,9,6,0,57.96,14.54,7,31,4649
CALGARY INT'L CS,2020,5,10,3.6,0.8,63.29,14.83,4,15,4664
CALGARY INT'L CS,2020,5,11,3.5,0,52.88,13.71,6,27,4691
