Station Name,Year,Month,Day,Mean Temp (C),Total Precip (mm),Avg Rel Hum (%),Avg Wind Spd (km/h),Mean UV,Cases,Cumulative Cases
EDMONTON BLATCHFORD,2020,1,15,-32.5,0,71.1,3.9,1,0,0
EDMONTON BLATCHFORD,2020,1,16,-28.7,2.8,68.6,5.4,1,0,0
EDMONTON BLATCHFORD,2020,1,17,-25.5,0.2,72.9,7.2,1,0,0
EDMONTON BLATCHFORD,2020,1,18,-23.3,0,70.9,12.4,1,0,0
EDMONTON BLATCHFORD,2020,1,19,-19.9,0,67.7,9,1,0,0
EDMONTON BLATCHFORD,2020,1,20,-11.5,0,67.5,15.8,1,0,0
EDMONTON BLATCHFORD,2020,1,21,-3.8,0,62.5,15.7,1,0,0
EDMONTON BLATCHFORD,2020,1,22,-5.6,7.6,68.1,11.3,1,0,0
EDMONTON BLATCHFORD,2020,1,23,-5.6,0,65.7,5.9,1,0,0
EDMONTON BLATCHFORD,2020,1,24,-4.5,0,70.4,8.4,1,0,0
EDMONTON BLATCHFORD,2020,1,25,-3.4,0,84.38,3.38,1,0,0
EDMONTON BLATCHFORD,2020,1,26,-5.2,0.2,83.46,9.58,1,0,0
EDMONTON BLATCHFORD,2020,1,27,-4.2,0,87.96,6.33,1,0,0
EDMONTON BLATCHFORD,2020,1,28,-9.7,0,85.92,3.21,1,0,0
EDMONTON BLATCHFORD,2020,1,29,-6.5,0,75.96,13.04,1,0,0
EDMONTON BLATCHFORD,2020,1,30,-1.4,0,61.04,12.38,1,0,0
EDMONTON BLATCHFORD,2020,1,31,1.2,0,56,11.71,1,0,0
EDMONTON BLATCHFORD,2020,2,1,1.4,3.5,63.33,15.46,1,0,0
EDMONTON BLATCHFORD,2020,2,2,-4.3,0,58.92,13.33,1,0,0
EDMONTON BLATCHFORD,2020,2,3,-11.3,0.2,77.21,6.5,1,0,0
EDMONTON BLATCHFORD,2020,2,4,-9.9,0.6,78.71,7.83,1,0,0
EDMONTON BLATCHFORD,2020,2,5,-1.1,2.8,84.25,8.04,1,0,0
EDMONTON BLATCHFORD,2020,2,6,1.4,0.7,74.79,14.08,1,0,0
EDMONTON BLATCHFORD,2020,2,7,-2.1,0.2,67.71,7.92,1,0,0
EDMONTON BLATCHFORD,2020,2,8,-6.1,0,71.96,9,1,0,0
EDMONTON BLATCHFORD,2020,2,9,-4.3,0,66.79,16.79,1,0,0
EDMONTON BLATCHFORD,2020,2,10,-0.3,0,58.04,11.08,1,0,0
EDMONTON BLATCHFORD,2020,2,11,-7.8,5.4,81.71,12.58,1,0,0
EDMONTON BLATCHFORD,2020,2,12,-16.7,0.2,71,11.63,1,0,0
EDMONTON BLATCHFORD,2020,2,13,-8.7,0.6,78.67,14.42,1,0,0
EDMONTON BLATCHFORD,2020,2,14,-7.9,0.2,71.88,9.88,1,0,0
EDMONTON BLATCHFORD,2020,2,15,-10.5,0,76.83,9.13,1,0,0
EDMONTON BLATCHFORD,2020,2,16,-10.7,0.2,77.42,7.92,1,0,0
EDMONTON BLATCHFORD,2020,2,17,-19.2,2.8,71.71,10.29,1,0,0
EDMONTON BLATCHFORD,2020,2,18,-20.8,0,72.04,7.92,1,0,0
EDMONTON BLATCHFORD,2020,2,19,-11.3,0,67.25,8.96,1.5,0,0
EDMONTON BLATCHFORD,2020,2,20,-3.7,0,57.79,7.29,2,0,0
EDMONTON BLATCHFORD,2020,2,21,0.7,0,51.21,8.08,2,0,0
EDMONTON BLATCHFORD,2020,2,22,-0.9,0,56.13,11.75,2,0,0
EDMONTON BLATCHFORD,2020,2,23,-2.8,0,50.38,6.13,2,0,0
EDMONTON BLATCHFORD,2020,2,24,-6.1,0,59.25,4.42,2,0,0
EDMONTON BLATCHFORD,2020,2,25,-8.2,0,68.08,9.17,2,1,1
EDMONTON BLATCHFORD,2020,2,26,0.6,0,62.46,7.04,2,0,1
EDMONTON BLATCHFORD,2020,2,27,4.6,0,51.46,7.96,2,1,2
EDMONTON BLATCHFORD,2020,2,28,1.8,0,53.88,7.88,2,4,6
EDMONTON BLATCHFORD,2020,2,29,-2,0.5,78.17,18.04,1,0,6
EDMONTON BLATCHFORD,2020,3,1,-3.8,0,68.96,14.08,2,1,7
EDMONTON BLATCHFORD,2020,3,2,2.6,0,53.54,16.54,2,0,7
EDMONTON BLATCHFORD,2020,3,3,2.9,0,64.29,13.54,2,1,8
EDMONTON BLATCHFORD,2020,3,4,0,0,68,12.63,1.5,4,12
EDMONTON BLATCHFORD,2020,3,5,-3.6,0,58,14.25,2,3,15
EDMONTON BLATCHFORD,2020,3,6,-6.2,0.2,73.25,14.67,2,3,18
EDMONTON BLATCHFORD,2020,3,7,-13.3,2.8,80.38,11.96,2,2,20
EDMONTON BLATCHFORD,2020,3,8,-11.6,1,71.04,7.79,3,7,27
EDMONTON BLATCHFORD,2020,3,9,-6.5,0,53.38,10.08,3,2,29
EDMONTON BLATCHFORD,2020,3,10,-2.9,0,48.96,9.92,2,14,43
EDMONTON BLATCHFORD,2020,3,11,0,0,66.42,14.92,2,14,57
EDMONTON BLATCHFORD,2020,3,12,-6.4,0.2,69.08,14.96,2.5,3,60
EDMONTON BLATCHFORD,2020,3,13,-15.7,0,60.04,13.92,2.5,8,68
EDMONTON BLATCHFORD,2020,3,14,-17.1,1,73.71,9.58,1,18,86
EDMONTON BLATCHFORD,2020,3,15,-16.7,0,62.25,7.5,3,14,100
EDMONTON BLATCHFORD,2020,3,16,-7,0,53,9.33,4,11,111
EDMONTON BLATCHFORD,2020,3,17,-5.1,0,63.71,11.38,3,9,120
EDMONTON BLATCHFORD,2020,3,18,-8.9,0,68.17,9.58,3.5,21,141
EDMONTON BLATCHFORD,2020,3,19,-10.6,0,73.63,13.54,4,8,149
EDMONTON BLATCHFORD,2020,3,20,-7.3,0,65.38,9.13,5,15,164
