Station Name,Year,Month,Day,Mean Temp (C),Total Precip (mm),Avg Rel Hum (%),Avg Wind Spd (km/h),Mean UV,Cases,Culmulative Cases
MCTAVISH,2020,1,15,-3.2,0.9,84.75,0.0625,1,0,0
MCTAVISH,2020,1,16,-7.2,5.5,80.375,0.225,1,0,0
MCTAVISH,2020,1,17,-16.9,0,59.20833333,0,1.5,0,0
MCTAVISH,2020,1,18,-15,7.9,74.875,0.25,1,0,0
MCTAVISH,2020,1,19,-10.9,2.6,80.66666667,0.191666667,1,0,0
MCTAVISH,2020,1,20,-13.6,0,63.20833333,0,1,0,0
MCTAVISH,2020,1,21,-9.3,0,68.91666667,0,1,0,0
MCTAVISH,2020,1,22,-1.3,0,72.70833333,0,1,0,0
MCTAVISH,2020,1,23,-0.4,0,60.5,0,1,0,0
MCTAVISH,2020,1,24,-1.5,0,73,0,1,0,0
MCTAVISH,2020,1,25,-2,8.4,85.125,8.333333333,1,0,0
MCTAVISH,2020,1,26,1.2,10.4,94.58333333,6.833333333,1,0,0
MCTAVISH,2020,1,27,1.4,1.3,89.08333333,5,1,0,0
MCTAVISH,2020,1,28,-2.7,0,72.25,6.916666667,1,0,0
MCTAVISH,2020,1,29,-8.1,0,59.70833333,7.041666667,1,0,0
MCTAVISH,2020,1,30,-8.9,0.2,63.08333333,5.083333333,1.5,0,0
MCTAVISH,2020,1,31,-7,0,71,3.916666667,2,0,0
MCTAVISH,2020,2,1,-3.8,0.9,78.5,3.25,1.5,0,0
MCTAVISH,2020,2,2,-4.3,0.6,84.83333333,3.333333333,1,0,0
MCTAVISH,2020,2,3,0.2,0,79.125,5.375,1,0,0
MCTAVISH,2020,2,4,0.8,0,67.625,3.833333333,1,0,0
MCTAVISH,2020,2,5,-5.5,0,57.04166667,6.708333333,2,0,0
MCTAVISH,2020,2,6,-6.8,7.5,82.16666667,9.75,2,0,0
MCTAVISH,2020,2,7,-8.6,22.8,92.16666667,13.41666667,2,0,0
MCTAVISH,2020,2,8,-14.7,0,61.83333333,5.625,2,0,0
MCTAVISH,2020,2,9,-12,0,69.5,4.625,2,0,0
MCTAVISH,2020,2,10,-4.4,9.9,86.5,5.75,1,0,0
MCTAVISH,2020,2,11,-4.1,0,85,3.458333333,1.5,0,0
MCTAVISH,2020,2,12,-0.3,0,65.54166667,7.166666667,2,0,0
MCTAVISH,2020,2,13,-7.5,2.7,78.45833333,7.458333333,1,0,0
MCTAVISH,2020,2,14,-18.8,0.3,53.66666667,8.833333333,2,0,0
MCTAVISH,2020,2,15,-11.2,0.3,62.20833333,7.583333333,2,0,0
MCTAVISH,2020,2,16,-1.2,0,71.45833333,7.666666667,2,0,0
MCTAVISH,2020,2,17,-5.9,0.2,54.54166667,6.875,2,1,1
MCTAVISH,2020,2,18,-4.6,7.7,76.58333333,7.791666667,1,0,1
MCTAVISH,2020,2,19,-5.4,1.6,57.75,6.541666667,2,0,1
MCTAVISH,2020,2,20,-12.9,0,51.75,4.75,2,0,1
MCTAVISH,2020,2,21,-8.8,0,61.08333333,9.333333333,3,0,1
MCTAVISH,2020,2,22,0.2,0,62.16666667,9.041666667,2.5,0,1
MCTAVISH,2020,2,23,2.3,0,66.33333333,7.125,3,0,1
MCTAVISH,2020,2,24,5.9,0,52.58333333,6.875,3,0,1
MCTAVISH,2020,2,25,2.7,0,63.04166667,8.458333333,3,0,1
MCTAVISH,2020,2,26,-1.1,1.7,71.66666667,7.958333333,2,0,1
MCTAVISH,2020,2,27,-2.5,18.3,87.5,8.791666667,1,0,1
MCTAVISH,2020,2,28,-8.6,0,66.16666667,6.75,2,1,2
MCTAVISH,2020,2,29,-10.4,0.2,70.875,5.541666667,2.5,0,2
MCTAVISH,2020,3,1,-8.8,3.2,64.58333333,6.75,3,2,4
MCTAVISH,2020,3,2,-1,12.1,80.95833333,6.625,2,3,7
MCTAVISH,2020,3,3,3.5,9.3,81.83333333,6.375,3,0,7
MCTAVISH,2020,3,4,2.3,0,75,7,2,2,9
MCTAVISH,2020,3,5,1.1,0.3,72.16666667,5.083333333,3,4,13
MCTAVISH,2020,3,6,-2.4,1.9,74.08333333,10.54166667,1,8,21
MCTAVISH,2020,3,7,-4.3,0,43.29166667,9.291666667,3,7,28
MCTAVISH,2020,3,8,2.8,0,58.41666667,7.208333333,4,3,31
MCTAVISH,2020,3,9,5,0,58,9.166666667,4,7,38
MCTAVISH,2020,3,10,3,11.8,91.54166667,4.583333333,1,13,51
MCTAVISH,2020,3,11,-3.2,0.2,56.04166667,6.875,3.5,14,65
MCTAVISH,2020,3,12,-1,0,63.625,8.291666667,4,7,72
MCTAVISH,2020,3,13,5,14.5,71.91666667,9.708333333,2,258,330
MCTAVISH,2020,3,14,1.4,0,46.70833333,8.916666667,4.5,109,439
MCTAVISH,2020,3,15,-5,0,48.95833333,8.875,4,164,603
MCTAVISH,2020,3,16,-3.9,0,49.75,6.875,4,179,782
MCTAVISH,2020,3,17,3.1,7.5,77.45833333,7.958333333,1,189,971
MCTAVISH,2020,3,18,-0.2,0.2,46.625,5.791666667,4.5,248,1219
