Station Name,Year,Month,Day,Mean Temp (C),Total Precip (mm),Avg Rel Hum (%),Avg Wind Spd (km/h),Daylight (hrs),Mean UV,Cases,Cumulative Cases
TORONTO INTL A,2020,1,25,2.6,8.6,95.29,18.5,9.612222222,1,0,0
TORONTO INTL A,2020,1,26,2,1,88.54,16.21,9.649444444,1,0,0
TORONTO INTL A,2020,1,27,0.6,0,80.21,16.08,9.686944444,1,0,0
TORONTO INTL A,2020,1,28,-0.1,0,71.29,19.79,9.725277778,1,0,0
TORONTO INTL A,2020,1,29,-4.9,0,70,15.58,9.764166667,2,0,0
TORONTO INTL A,2020,1,30,-5.1,0,78.67,18.42,9.803888889,1,0,0
TORONTO INTL A,2020,1,31,-2,0.8,82.5,9.5,9.843888889,1,0,0
TORONTO INTL A,2020,2,1,-1.6,1.4,87.42,16.13,9.884722222,1,0,0
TORONTO INTL A,2020,2,2,0,4.2,93.88,15.92,9.925833333,1,0,0
TORONTO INTL A,2020,2,3,3.1,0,73.63,15.75,9.9675,2,0,0
TORONTO INTL A,2020,2,4,-1.2,0,68.92,15.63,10.00972222,2,0,0
TORONTO INTL A,2020,2,5,-5.6,0.6,55.33,17.92,10.0525,2,0,0
TORONTO INTL A,2020,2,6,-4.5,6.4,85.38,26.42,10.09555556,1,0,0
TORONTO INTL A,2020,2,7,-6.8,1.8,75.29,23.46,10.13916667,1,0,0
TORONTO INTL A,2020,2,8,-11,0,65.75,12.71,10.18333333,2,0,0
TORONTO INTL A,2020,2,9,-5,8.4,83.42,17,10.22777778,1.5,0,0
TORONTO INTL A,2020,2,10,1.6,0.2,81.92,15.79,10.2725,2,0,0
TORONTO INTL A,2020,2,11,-0.1,0,72,13.25,10.31777778,2,0,0
TORONTO INTL A,2020,2,12,-1.6,0.4,66.63,18,10.36333333,2.5,0,0
TORONTO INTL A,2020,2,13,-8.7,4,82.96,15.67,10.40916667,1,0,0
TORONTO INTL A,2020,2,14,-14.9,0,60.25,16.71,10.45527778,2,0,0
TORONTO INTL A,2020,2,15,-5.8,0.2,65.5,24.58,10.50166667,2.5,0,0
TORONTO INTL A,2020,2,16,0.1,0,70.5,15.58,10.54861111,2.5,0,0
TORONTO INTL A,2020,2,17,-3.1,0,69.17,14.21,10.59555556,2,0,0
TORONTO INTL A,2020,2,18,1.9,6.8,82.42,23.58,10.64277778,2,0,0
TORONTO INTL A,2020,2,19,-3.9,0,57.33,22.29,10.69055556,2,0,0
TORONTO INTL A,2020,2,20,-7.8,0,62.88,15.38,10.73833333,2,0,0
TORONTO INTL A,2020,2,21,-5,0,61,20.17,10.78638889,3,0,0
TORONTO INTL A,2020,2,22,0.7,0,58.88,18.13,10.83444444,3,0,0
TORONTO INTL A,2020,2,23,4.5,0,53.75,22.42,10.88305556,3,0,0
TORONTO INTL A,2020,2,24,4.3,0,64.13,13.67,10.93138889,3,0,0
TORONTO INTL A,2020,2,25,2.4,2.2,80,19.08,10.98027778,2,0,0
TORONTO INTL A,2020,2,26,-0.8,11.4,85.04,23.79,11.02916667,1,0,0
TORONTO INTL A,2020,2,27,-4.9,2.4,77.17,34.83,11.07833333,2.5,0,0
TORONTO INTL A,2020,2,28,-7.2,1.6,70.79,28.92,11.1275,2,0,0
TORONTO INTL A,2020,2,29,-8.9,0,65.54,17.13,11.17694444,2.5,0,0
TORONTO INTL A,2020,3,1,-4.2,0,66.63,15.17,11.22638889,3,0,0
TORONTO INTL A,2020,3,2,3.8,0.2,80.92,17.33,11.27611111,1,0,0
TORONTO INTL A,2020,3,3,2.3,8.8,90.46,14.25,11.32583333,1.5,0,0
TORONTO INTL A,2020,3,4,3.4,0,73.5,20.25,11.37555556,2.5,0,0
TORONTO INTL A,2020,3,5,1.2,0,58.54,17.17,11.42527778,3,0,0
TORONTO INTL A,2020,3,6,0.1,2.2,79.96,19.13,11.47527778,2,2,2
TORONTO INTL A,2020,3,7,-1.7,0,55.21,13.29,11.52527778,3,0,2
TORONTO INTL A,2020,3,8,6.3,0,52.75,22.21,11.57555556,4,1,3
TORONTO INTL A,2020,3,9,12.5,0,49.42,23.29,11.62555556,4,1,4
TORONTO INTL A,2020,3,10,5.2,3.6,78.96,23.17,11.67583333,2,0,4
TORONTO INTL A,2020,3,11,0.9,0,71.13,15.42,11.72611111,2.5,0,4
TORONTO INTL A,2020,3,12,3,0,77.04,16.25,11.77638889,4,3,7
TORONTO INTL A,2020,3,13,4.8,2.8,67.29,31.21,11.82666667,4,4,11
TORONTO INTL A,2020,3,14,1.2,0,64.46,20.63,11.87694444,4,1,12
TORONTO INTL A,2020,3,15,-0.3,0,44.96,17.96,11.9275,4,5,17
TORONTO INTL A,2020,3,16,-0.6,1,58.13,17.46,11.97777778,4,4,21
TORONTO INTL A,2020,3,17,3.7,0,70.33,21.17,12.02833333,3.5,0,21
TORONTO INTL A,2020,3,18,0.7,1,54.46,18.04,12.07861111,4,2,23
TORONTO INTL A,2020,3,19,4.7,2.6,81.67,14.29,12.12916667,4,3,26
TORONTO INTL A,2020,3,20,7.1,3.6,80.17,36.33,12.17944444,4.5,7,33
TORONTO INTL A,2020,3,21,-3.9,0,52.58,18.29,12.23,4,4,37
TORONTO INTL A,2020,3,22,-3.3,0,59.38,22.54,12.28027778,4,1,38
TORONTO INTL A,2020,3,23,1.7,8.2,91.21,13.83,12.33055556,1,6,44
TORONTO INTL A,2020,3,24,3.1,0,78.04,12.33,12.38083333,4.5,5,49
TORONTO INTL A,2020,3,25,5.7,0,76.75,15.33,12.43111111,3.5,13,62
