Station Name,Year,Month,Day,Mean Temp (C),Total Precip (mm),Avg Rel Hum (%),Avg Wind Spd (km/h),Mean UV,Cases,Cumulative Cases
TORONTO CITY CENTRE,2020,1,15,3.6,0,65.625,15.39130435,1,1,1
TORONTO CITY CENTRE,2020,1,16,-3.9,0,68.08333333,23.625,1,0,1
TORONTO CITY CENTRE,2020,1,17,-10.2,0,58.91666667,11.625,1,1,2
TORONTO CITY CENTRE,2020,1,18,-2.5,16.1,81.625,25.33333333,1,0,2
TORONTO CITY CENTRE,2020,1,19,-4.5,0.3,69.04166667,26.25,1,0,2
TORONTO CITY CENTRE,2020,1,20,-8.9,0.6,62.83333333,16,1,0,2
TORONTO CITY CENTRE,2020,1,21,-4.7,0,69.875,19.04166667,1.5,0,2
TORONTO CITY CENTRE,2020,1,22,-2,0,70.25,29.20833333,2,0,2
TORONTO CITY CENTRE,2020,1,23,0.5,0.5,67.45833333,8.583333333,1,0,2
TORONTO CITY CENTRE,2020,1,24,2.4,20.9,69.75,32.20833333,1,0,2
TORONTO CITY CENTRE,2020,1,25,2.7,6.6,94.29,24.71,1,0,2
TORONTO CITY CENTRE,2020,1,26,2.5,0.7,88.75,24.08,1,0,2
TORONTO CITY CENTRE,2020,1,27,1.8,0,77.21,17.54,1,0,2
TORONTO CITY CENTRE,2020,1,28,0.8,0,72.5,15.25,1,0,2
TORONTO CITY CENTRE,2020,1,29,-3.6,0,66.17,12.08,2,0,2
TORONTO CITY CENTRE,2020,1,30,-2.7,0,77.17,15.96,1,0,2
TORONTO CITY CENTRE,2020,1,31,-1.1,0,78,8.21,1,0,2
TORONTO CITY CENTRE,2020,2,1,-0.5,0.2,84.21,12.75,1,0,2
TORONTO CITY CENTRE,2020,2,2,1.3,4.5,92.79,14.13,1,0,2
TORONTO CITY CENTRE,2020,2,3,3.1,0,72.17,18.38,2,0,2
TORONTO CITY CENTRE,2020,2,4,-0.1,0,62.46,16.54,2,0,2
TORONTO CITY CENTRE,2020,2,5,-4.4,0.5,59.21,16.46,2,0,2
TORONTO CITY CENTRE,2020,2,6,-3.5,3,82.33,20.04,1,0,2
TORONTO CITY CENTRE,2020,2,7,-5.3,0.2,71.67,21.13,1,0,2
TORONTO CITY CENTRE,2020,2,8,-9.1,0,64,10.67,2,0,2
TORONTO CITY CENTRE,2020,2,9,-2.1,4.5,84.33,12.92,1.5,0,2
TORONTO CITY CENTRE,2020,2,10,2.6,0,80.21,13.21,2,0,2
TORONTO CITY CENTRE,2020,2,11,1.1,0,69.42,16.54,2,0,2
TORONTO CITY CENTRE,2020,2,12,-0.3,0,69.79,25.83,2.5,0,2
TORONTO CITY CENTRE,2020,2,13,-7.1,1,79.92,18.67,1,1,3
TORONTO CITY CENTRE,2020,2,14,-12.9,0,61.92,16.33,2,0,3
TORONTO CITY CENTRE,2020,2,15,-3.2,0,66.79,35.71,2.5,0,3
TORONTO CITY CENTRE,2020,2,16,1.2,0,66.71,23.33,2.5,1,4
TORONTO CITY CENTRE,2020,2,17,-1.7,0,66.5,15.38,2,1,5
TORONTO CITY CENTRE,2020,2,18,2.4,5.8,82.04,28.63,2,2,7
TORONTO CITY CENTRE,2020,2,19,-2.5,0,54.04,23.63,2,0,7
TORONTO CITY CENTRE,2020,2,20,-6.5,0,58.71,16.38,2,1,8
TORONTO CITY CENTRE,2020,2,21,-3.7,0,61.88,31.54,3,0,8
TORONTO CITY CENTRE,2020,2,22,0.9,0,65.21,24.88,3,3,11
TORONTO CITY CENTRE,2020,2,23,3.8,0,72.79,19.33,3,0,11
TORONTO CITY CENTRE,2020,2,24,4.6,0,75,13.38,3,1,12
TORONTO CITY CENTRE,2020,2,25,3.8,0.5,70.21,15.08,2,3,15
TORONTO CITY CENTRE,2020,2,26,0.5,6.5,81.13,18.75,1,0,15
TORONTO CITY CENTRE,2020,2,27,-3.7,0.4,75.67,39.75,2.5,3,18
TORONTO CITY CENTRE,2020,2,28,-5.9,0.2,70.75,43.5,2,2,20
TORONTO CITY CENTRE,2020,2,29,-7.7,0,62.71,17.25,2.5,1,21
TORONTO CITY CENTRE,2020,3,1,-2.2,0,68.67,12.54,3,2,23
TORONTO CITY CENTRE,2020,3,2,3.5,4,88.21,10.63,1,8,31
TORONTO CITY CENTRE,2020,3,3,3,13.3,90.58,16.63,1.5,12,43
